,PredictionString,image_id
0,7 0.9990944862365723 121.91975402832031 412.35345458984375 328.7542419433594 719.9852294921875 7 0.9987824559211731 214.60081481933594 53.38151550292969 455.3592224121094 471.67327880859375 7 0.9984363913536072 603.0428466796875 524.5887451171875 952.6593017578125 1022.0990600585938 7 0.9969340562820435 451.5860900878906 592.22802734375 642.6009521484375 877.1139526367188 7 0.9960298538208008 392.1970520019531 191.03738403320312 602.92626953125 544.7838134765625 7 0.9926007390022278 649.2495727539062 342.78424072265625 875.3366088867188 606.6082153320312 1 0.990931510925293 557.5755004882812 110.35289001464844 751.9779052734375 365.4163513183594 7 0.9821019172668457 555.7023315429688 339.8407287597656 728.15478515625 605.9404296875 7 0.9806429147720337 262.0738830566406 435.3992004394531 433.96405029296875 602.46044921875 5 0.9719514846801758 341.61065673828125 642.7474975585938 396.8496398925781 722.6668701171875 5 0.9424986839294434 244.8329315185547 684.997314453125 302.77325439453125 748.2607421875 7 0.8463147282600403 323.5675354003906 567.7911376953125 381.86932373046875 618.4777221679688 7 0.7255135774612427 278.554443359375 471.5259094238281 467.1470031738281 733.6232299804688 1 0.6410258412361145 631.9100952148438 160.59519958496094 741.551025390625 337.2406311035156 5 0.5602761507034302 327.0435791015625 638.5632934570312 355.65142822265625 683.0030517578125 0 0.526258647441864 631.7258911132812 256.1870422363281 746.9727783203125 352.6606750488281 1 0.4875175952911377 245.50030517578125 408.926513671875 289.965087890625 472.91558837890625 0 0.41271886229515076 318.1592102050781 682.9515380859375 349.4804992675781 744.5973510742188 7 0.40004679560661316 540.4930419921875 184.35980224609375 575.0098876953125 243.23431396484375 5 0.3866019 507.59656 644.88794 554.2665 690.61145 5 0.35065945982933044 327.19927978515625 638.9584350585938 404.37225341796875 685.5661010742188 2 0.28325175 329.09918 639.1114 356.92175 683.6888 5 0.2103873 400.20578 620.5798 445.20847 686.904 5 0.203661635 368.49698 555.9501 434.23447 622.0751 1 0.1862248 433.89905 464.43408 574.2134 683.01404 5 0.18211697 674.97906 258.85825 727.8581 315.79105 ,test/0000.jpg
1,5 0.9893136620521545 353.4666748046875 250.30506896972656 747.3042602539062 694.774169921875 0 0.4965464472770691 753.1116943359375 665.1429443359375 900.27197265625 984.4779052734375 0 0.4958370625972748 135.34645080566406 0.0 501.1065673828125 267.38604736328125 5 0.4472038149833679 134.293701171875 0.2457454800605774 495.9454345703125 265.6371765136719 3 0.4065136 344.7064 245.29167 753.7838 703.0519 ,test/0001.jpg
2,1 0.9923442006111145 422.89678955078125 268.0346374511719 642.7631225585938 327.96661376953125 1 0.9907481074333191 74.7116470336914 279.0212097167969 435.09368896484375 598.1185302734375 1 0.9693843126296997 297.8235778808594 314.09783935546875 998.1968383789062 749.011962890625 1 0.9318850040435791 670.0426025390625 225.80845642089844 876.0460815429688 323.37164306640625 1 0.839581310749054 752.2898559570312 229.27154541015625 969.601318359375 327.7288513183594 1 0.8348263502120972 539.40771484375 574.6508178710938 756.9937133789062 662.2339477539062 1 0.7962197065353394 672.3096313476562 229.47991943359375 1010.90234375 362.89141845703125 1 0.7612875699996948 777.322021484375 431.04541015625 1023.7064208984375 1020.4537963867188 1 0.7340133190155029 768.9329833984375 230.30543518066406 860.134521484375 330.2389221191406 4 0.7238698601722717 865.011962890625 246.1299591064453 914.1651000976562 324.77679443359375 0 0.6865021586418152 165.6808624267578 304.92620849609375 232.1075439453125 584.6143798828125 0 0.6520423889160156 311.784912109375 334.80145263671875 1002.3173828125 369.5098876953125 0 0.6282258629798889 660.2980346679688 288.1340637207031 736.7578735351562 324.51544189453125 1 0.5162121653556824 428.3203125 500.3757629394531 802.7559814453125 686.4171752929688 1 0.4639799892902374 993.48095703125 309.18572998046875 1022.2478637695312 392.1763000488281 0 0.4436829090118408 972.83056640625 232.01402282714844 1023.1407470703125 248.76795959472656 0 0.42164123 878.32965 469.3435 1019.2277 634.3257 7 0.39888331294059753 0.0 226.62852478027344 173.47821044921875 497.3201904296875 1 0.3757382333278656 975.1981811523438 232.12948608398438 1023.3353881835938 248.66842651367188 0 0.274033575 245.31183 287.01843 316.4181 586.98444 6 0.228372975 344.0942 327.33658 989.86646 368.99857 0 0.21467519 537.74426 583.61993 757.374 667.3055 0 0.1941183 819.07135 555.5491 955.21967 784.7501 4 0.18311035 992.18536 305.81827 1023.53143 399.02695 ,test/0002.jpg
3,9 0.9903262257575989 84.9439926147461 269.4955749511719 924.4619750976562 811.4508666992188 9 0.7384637594223022 9.787155151367188 662.6180419921875 286.09814453125 1022.924072265625 9 0.6795953512191772 34.856781005859375 0.0 1013.1793212890625 314.9071044921875 9 0.6674168705940247 249.35147094726562 757.7560424804688 1015.1688232421875 1019.9053955078125 9 0.666382372379303 14.188477516174316 459.2794494628906 271.1738586425781 869.8780517578125 9 0.5762049555778503 2.4499661922454834 434.513671875 137.98880004882812 868.943115234375 9 0.44202920794487 65.74636840820312 611.5902099609375 1010.87841796875 1002.5072021484375 ,test/0003.jpg
4,1 0.8955180644989014 200.2844696044922 288.7052917480469 862.8259887695312 783.8341674804688 0 0.26479870080947876 428.8679504394531 409.08575439453125 654.8040161132812 574.0863647460938 ,test/0004.jpg
5,2 0.9100579023361206 352.6391906738281 222.03195190429688 781.934326171875 711.7929077148438 ,test/0005.jpg
6,7 0.9766013622283936 273.3518371582031 5.358051300048828 410.1651306152344 167.89987182617188 5 0.9702613353729248 354.3086242675781 451.777099609375 842.60791015625 729.9716186523438 4 0.8786681294441223 422.5446472167969 1.205561637878418 695.8604125976562 277.6042175292969 0 0.8762016892433167 894.2626953125 788.7945556640625 1020.1780395507812 918.6460571289062 6 0.7436495423316956 601.695556640625 0.023899076506495476 699.8992309570312 85.91757202148438 3 0.5854979157447815 0.4543977975845337 50.79304885864258 70.77885437011719 227.1463623046875 5 0.5680542588233948 0.16544342041015625 53.2352409362793 70.60975646972656 227.9761505126953 5 0.410383403301239 424.3817138671875 0.0 709.6304321289062 275.83746337890625 0 0.234057115 603.0292 0.81111145 703.7367 87.51531 ,test/0006.jpg
7,9 0.9653021693229675 173.56137084960938 104.80924987792969 968.2364501953125 768.3783569335938 9 0.7857250571250916 577.2413330078125 474.2299499511719 887.974365234375 736.6906127929688 1 0.5423661470413208 433.694091796875 957.069580078125 517.6519775390625 1018.1344604492188 1 0.5233702659606934 891.4856567382812 895.3494873046875 1020.7035522460938 1021.0250854492188 9 0.5171070098876953 342.07525634765625 0.0 1018.4405517578125 210.5446319580078 0 0.5079867243766785 885.6622924804688 898.6032104492188 1015.9051513671875 1020.5664672851562 0 0.43316546082496643 0.0 858.6678466796875 24.591922760009766 1021.5242309570312 9 0.3816812038421631 807.84814453125 183.7354278564453 985.6791381835938 581.515380859375 0 0.29902068 0.84677124 542.58044 292.88623 1024.0 1 0.24803594 216.54633 892.6699 611.83185 1023.3418 ,test/0007.jpg
8,7 0.997994065284729 4.948038578033447 613.0474853515625 181.2892608642578 879.7069702148438 7 0.997655987739563 157.51248168945312 507.02099609375 476.252197265625 965.12353515625 7 0.9960446357727051 391.3362121582031 466.6530456542969 693.2315063476562 866.3063354492188 7 0.9955490827560425 5.92325496673584 357.9643859863281 277.11041259765625 625.1414184570312 7 0.9868153929710388 689.3413696289062 529.428955078125 789.8033447265625 697.8958129882812 1 0.9723216891288757 645.629638671875 638.4524536132812 721.8790283203125 762.6920166015625 6 0.972277820110321 768.9607543945312 268.21685791015625 978.1304321289062 613.4723510742188 7 0.9547439813613892 351.4611511230469 124.09733581542969 420.1747741699219 223.15057373046875 7 0.9438580274581909 358.6810302734375 496.3284606933594 462.3550109863281 692.7232666015625 7 0.8923049569129944 548.6519775390625 433.685791015625 783.5339965820312 685.86083984375 5 0.7561447620391846 602.185791015625 341.41790771484375 739.212890625 474.4816589355469 5 0.7546588182449341 1.2622222900390625 389.7370300292969 173.65725708007812 550.9494018554688 7 0.6847688555717468 0.0 524.4849243164062 43.761444091796875 685.5264282226562 1 0.580798327922821 665.602294921875 447.58642578125 811.6285400390625 616.3541259765625 7 0.5536511540412903 152.24073791503906 516.54443359375 267.04541015625 667.6551513671875 1 0.5473412871360779 103.92404174804688 904.4144897460938 169.33612060546875 972.2100219726562 7 0.543433427810669 544.97900390625 429.1725158691406 706.8208618164062 594.1019287109375 0 0.5025270581245422 103.56664276123047 904.5083618164062 169.48179626464844 972.5712890625 7 0.5003449320793152 219.2178497314453 492.1568298339844 341.48046875 559.3887329101562 5 0.3298582 253.42737 542.35876 311.6842 691.0116 7 0.240703925 150.77353 493.2517 332.95694 670.80566 0 0.22254345 357.12976 122.83575 420.27972 224.52115 1 0.221547425 152.79048 573.75824 197.0139 661.63885 0 0.1820965 365.78546 2.4196243 419.13287 86.14626 ,test/0008.jpg
9,0 0.8815181851387024 262.6506652832031 110.65861511230469 665.7621459960938 964.3775634765625 ,test/0009.jpg
