PredictionString,image_id
7 0.976875 607.269376 518.01856 957.029888 1024.000512 7 0.966475 216.01843199999996 52.107776 455.881216 462.79424 7 0.962003 390.57356799999997 190.881792 599.235072 544.647168 7 0.958767 447.16236799999996 602.561536 649.207808 875.820032 1 0.917738 566.729216 104.314368 774.6575359999999 365.916672 7 0.902081 117.91462399999999 366.13580800000005 331.041792 716.5066240000001 7 0.73965 245.065728 396.76518400000003 435.29215999999997 578.271232 1 0.738489 433.148416 468.192256 619.767296 682.32704 7 0.695378 656.786944 338.86003199999993 879.8970879999999 603.979776 5 0.619141 342.7042304 640.749824 394.4958976 723.990272 7 0.586629 540.870656 334.29504 880.590848 605.249536 5 0.474508 495.2564224 594.2376448 554.2452736 642.1727232000001 7 0.369213 322.4443392 569.5150592 381.06004479999996 619.2608768 6 0.336101 244.0451072 667.1305728 302.1134848 748.5412352000001 7 0.300459 300.467712 385.17242880000003 410.23129600000004 471.1619072 7 0.271145 338.91481600000003 552.6819839999999 469.254656 686.65088 1 0.266387 482.491648 608.8251904 510.66547199999997 658.4464896000001 5 0.262182 386.1187072 683.4743808000001 425.3193728 722.2031872 7 0.252805 244.158208 666.2749696000001 301.57644799999997 748.2110464 ,test/0000.jpg
5 0.542629 347.517952 250.35008 752.11264 695.4040319999999 3 0.440097 348.470784 249.475584 752.2800639999999 696.382976 ,test/0001.jpg
1 0.870315 75.93932799999999 274.710528 427.067904 603.918336 1 0.819917 302.45836800000006 309.3027840000001 1012.312576 749.246976 1 0.79461 776.805888 399.28627200000005 1024.000512 1022.482432 1 0.425769 424.73779199999996 268.14336000000003 643.396608 326.08384 1 0.280276 675.457536 225.7430016 867.1636480000001 325.0625024 3 0.256018 867.7044736 244.1655296 915.2269824 325.0146304 ,test/0002.jpg
9 0.648279 152.621056 270.894592 942.5039360000001 809.972224 9 0.458665 0.0 441.33376000000004 292.163584 1023.4900480000001 ,test/0003.jpg
9 0.320214 194.78835199999997 388.953088 870.351872 780.4835840000001 0 0.276355 269.45945600000005 397.582848 872.8186880000001 778.651136 ,test/0004.jpg
2 0.845352 350.664192 232.01075200000002 781.7425920000001 714.505216 ,test/0005.jpg
0 0.576621 897.4735360000001 787.4554880000001 1023.249408 915.995136 5 0.519694 362.631168 453.04985600000003 844.498944 726.26432 5 0.372156 0.5716992000000047 21.723135999999997 71.1422976 221.46252800000002 3 0.278767 0.0 38.079999999999984 71.1811072 221.42208 ,test/0006.jpg
9 0.805941 554.7617280000001 477.40672 894.595584 736.600576 9 0.551057 293.825024 104.88012800000001 999.8515199999999 730.683392 9 0.494067 91.27116799999999 123.86662399999994 911.816704 912.8760319999999 9 0.366308 689.98656 478.90175999999997 895.331328 737.6880639999999 9 0.361302 90.66700799999995 84.72217599999999 880.207872 706.928128 ,test/0007.jpg
7 0.956899 405.33452800000003 468.120576 690.9312 873.309184 7 0.945427 165.048832 494.843392 468.43648 961.049088 7 0.929909 2.159206400000002 618.966528 180.8902144 881.998336 7 0.9247 685.245952 532.073984 791.0425600000001 704.7418879999999 6 0.856676 772.641792 277.720576 978.7607039999999 616.2027519999999 1 0.809846 645.2855807999999 635.521024 720.5501952 759.72608 7 0.802118 549.891072 423.955456 702.071808 610.09408 7 0.784201 2.620927999999992 361.624064 264.638976 641.967616 1 0.560437 771.556352 277.43180800000005 978.052096 617.517568 2 0.471617 104.9793536 906.4460799999999 171.26717440000002 972.458752 7 0.420076 353.77919999999995 497.659392 466.057728 728.683008 1 0.406638 599.128064 344.6528 736.7311360000001 465.093632 7 0.348252 218.141696 490.56911360000004 333.11232 555.6824064 1 0.28905 0.6200319999999806 0.5473279999999932 313.451008 262.370816 ,test/0008.jpg
6 0.51236 298.26457600000003 127.23609599999997 664.420352 774.459392 2 0.362427 278.68262400000003 119.50694399999998 667.206656 790.095872 ,test/0009.jpg
4 0.711842 209.70700799999997 322.12991999999997 651.737088 478.1568 ,test/0010.jpg
6 0.825974 0.0 158.42816000000002 541.741056 502.989824 6 0.688976 89.022976 345.841152 513.936896 632.113664 6 0.661553 82.26099199999999 369.312768 277.277696 501.439488 5 0.625056 709.010432 323.083776 917.0073600000001 470.17216 5 0.483153 809.099264 262.159872 1000.626176 406.29504000000003 5 0.414823 498.06284800000003 299.6096 1021.10464 717.189632 5 0.36421 468.08473599999996 113.30611200000001 773.6422399999999 312.948224 4 0.311295 427.3965056 828.585984 528.1531904 1021.882368 ,test/0011.jpg
0 0.351289 292.23884799999996 407.998464 551.166464 798.54592 1 0.326417 291.625984 407.174144 550.851584 796.965888 ,test/0012.jpg
1 0.848959 508.00998400000003 307.497984 868.6576640000001 640.357376 1 0.425532 190.51212800000002 379.55686399999996 492.258304 487.865344 1 0.418166 224.90521600000002 487.675904 526.696448 794.5216 1 0.356968 281.72236799999996 311.69126400000005 870.3923199999999 640.509952 1 0.261981 193.27180800000002 323.17747199999997 556.1077760000001 623.705088 ,test/0013.jpg
7 0.857158 1.6133120000000076 251.55174400000004 873.5687680000001 894.244864 7 0.746702 10.636799999999994 122.602496 447.8592 338.93068800000003 ,test/0014.jpg
7 0.908539 283.72070399999996 232.30975999999998 790.3590399999999 803.361792 ,test/0015.jpg
2 0.931644 302.901248 380.665344 700.387328 752.7244800000001 ,test/0016.jpg
,test/0017.jpg
6 0.451363 374.910976 512.836096 971.841536 823.729664 0 0.389067 624.702976 357.655552 764.117504 492.891136 0 0.334505 668.401664 512.19456 963.47136 755.3536 1 0.317158 159.472128 139.51795200000004 973.661696 813.932544 0 0.282413 565.0816 165.613056 611.3059840000001 233.667072 ,test/0018.jpg
