,PredictionString,image_id
0,7 0.9994645118713379 604.8395385742188 515.291748046875 952.299560546875 1017.2710571289062 7 0.9989158511161804 217.39454650878906 47.818031311035156 457.5340576171875 482.69915771484375 1 0.998753547668457 560.9839477539062 110.1382064819336 759.234619140625 363.2648010253906 7 0.9981517195701599 115.6365737915039 418.1610412597656 332.9515075683594 735.614501953125 7 0.9949027299880981 641.9163818359375 314.88140869140625 876.0730590820312 601.0589599609375 7 0.994824230670929 559.47900390625 337.890625 708.6431884765625 597.177490234375 7 0.9934860467910767 446.9450988769531 587.469482421875 641.2308349609375 875.5447998046875 7 0.9903197884559631 390.7756652832031 192.81787109375 604.2737426757812 555.3071899414062 5 0.9560065269470215 243.35293579101562 679.9467163085938 301.2467041015625 748.35400390625 7 0.6596425771713257 246.91761779785156 412.0506286621094 425.3254089355469 581.7306518554688 1 0.5367347002029419 467.1875305175781 553.1195678710938 565.0233764648438 669.2139892578125 5 0.39584418137868244 340.4855651855469 640.6018676757812 405.5043640136719 724.1949462890625 7 0.39145461718241376 323.9121398925781 567.30517578125 382.4661865234375 618.9359741210938 7 0.3829399049282074 324.2115478515625 551.5726318359375 460.1712646484375 730.490478515625 1 0.31807533899943036 480.5415344238281 586.031005859375 553.9716186523438 655.6963500976562 7 0.31378906666666667 250.4661 410.46857 474.1373 731.9378 1 0.2804813333333333 440.37283 472.87827 569.39594 666.3117 1 0.22451689 245.82834 411.43414 285.31796 479.17877 5 0.21072596666666665 340.49753 630.5002 449.4888 730.2935 6 0.17426711333333333 433.04376 463.8577 562.2093 574.0021 0 0.14805953333333333 325.40195 569.6085 377.14395 618.8943 0 0.14691741333333333 325.91083 639.5538 359.23303 684.8659 7 0.11875649333333334 22.003868 138.8803 259.78534 403.55243 7 0.10395378 321.28387 563.2232 419.18323 642.08636 ,test/0000.jpg
1,5 0.9421928524971008 340.4689636230469 253.62307739257812 746.3353271484375 692.3232421875 5 0.9007057547569275 129.0779266357422 3.1052680015563965 495.9496765136719 283.3143615722656 0 0.7557602524757385 748.9779663085938 655.7279052734375 894.6383666992188 989.448974609375 3 0.3061582048734029 337.5409851074219 254.93421936035156 751.7393188476562 692.893310546875 6 0.17072101333333334 753.1747 645.64905 901.65076 994.4934 1 0.16659797333333334 743.7254 660.79114 894.8608 997.47864 ,test/0001.jpg
2,1 0.9574820399284363 87.54914093017578 276.3017578125 423.2821044921875 602.5279541015625 1 0.9038163423538208 291.2127990722656 287.98394775390625 1020.1417846679688 745.0930786132812 1 0.8893958926200867 777.0397338867188 447.9803466796875 1024.0 1021.2030029296875 1 0.8758270740509033 422.0071716308594 270.13140869140625 643.9656372070312 324.4363708496094 6 0.7541316151618958 289.0418395996094 296.80206298828125 1018.0211181640625 715.6347045898438 0 0.7319257855415344 874.7802124023438 470.89593505859375 1015.341796875 636.0484008789062 1 0.7245198488235474 0.0 230.6560821533203 168.9835205078125 478.6438903808594 0 0.7190985679626465 871.0167236328125 244.3896026611328 913.5093383789062 323.3965759277344 1 0.641242504119873 995.0928344726562 305.06658935546875 1022.8154907226562 392.2502746582031 1 0.6258912086486816 661.939208984375 226.3708038330078 1024.0 352.56121826171875 0 0.5663982629776001 296.5863952636719 316.5939636230469 1018.702880859375 719.7853393554688 0 0.5381009181340536 158.1324920654297 308.9035339355469 240.69143676757812 593.661376953125 0 0.5372670292854309 780.0890502929688 413.89697265625 1024.0001220703125 1018.8676147460938 1 0.49314125378926593 682.22802734375 225.05291748046875 926.71533203125 326.3175964355469 0 0.4329972267150879 82.77886962890625 287.27734375 429.36279296875 593.4492797851562 5 0.32467035452524823 0.0 225.3267059326172 173.30995178222656 486.2978820800781 5 0.2900118827819824 870.2584838867188 469.94403076171875 1020.7213134765625 634.65966796875 0 0.27572540442148846 450.92132568359375 505.77783203125 802.1589965820312 655.9573974609375 0 0.2654017210006714 342.2352600097656 317.4670715332031 1005.8280029296875 419.38519287109375 0 0.2537732521692912 423.4577941894531 271.1871337890625 643.8983154296875 323.0047912597656 0 0.20957573333333335 658.2597 288.3543 732.0402 322.37793 1 0.12610683333333333 358.15283 478.4425 858.2516 737.19836 6 0.11500216666666667 416.89603 268.5388 652.06055 327.6805 0 0.11133049 532.093 568.70593 765.6459 663.38025 6 0.10394350000000001 350.76556 312.72516 1013.1989 405.248 0 0.10086355666666667 393.49255 335.15048 1002.6649 375.15244 ,test/0002.jpg
3,9 0.9736288785934448 147.31039428710938 255.56285095214844 908.2605590820312 817.353515625 9 0.44635268052419025 0.0 1.7353758811950684 997.8392333984375 756.24365234375 9 0.37974830468495685 182.758056640625 457.9032897949219 1023.9249877929688 1020.8421630859375 9 0.27740868 5.6355896 0.0 986.85364 439.62726 9 0.13400887333333333 212.32013 756.9264 1015.2564 1024.0 0 0.10368945333333333 0.0 0.0 1011.6782 488.72626 ,test/0003.jpg
4,1 0.9598467946052551 191.479248046875 259.96160888671875 871.8660888671875 772.381103515625 0 0.43334493041038513 195.4010009765625 316.88885498046875 882.4451293945312 774.0149536132812 0 0.4131534894307454 449.18585205078125 406.0201416015625 658.5014038085938 558.56298828125 9 0.40126046538352966 442.5940856933594 406.3291015625 659.9332885742188 561.0228881835938 7 0.25058414538701373 442.0955810546875 405.5123596191406 651.3308715820312 559.5263671875 1 0.24774223566055298 421.9169921875 407.4288330078125 664.1742553710938 572.4863891601562 0 0.13195203333333333 417.74796 369.44208 649.8192 577.2321 ,test/0004.jpg
5,2 0.983753502368927 358.8193359375 226.2828826904297 769.2298583984375 715.298095703125 ,test/0005.jpg
6,5 0.9576409459114075 341.18109130859375 449.5151062011719 841.3052368164062 726.9033203125 7 0.49469514687856037 273.4600830078125 5.413678169250488 412.1496276855469 183.98854064941406 5 0.4239824215571086 0.0 49.771263122558594 71.54899597167969 227.1105499267578 5 0.39181387424468994 428.4248046875 9.657855033874512 677.4761352539062 277.037353515625 3 0.3864692846934001 0.5075693130493164 46.66621017456055 71.94869232177734 230.92092895507812 6 0.31194883584976196 601.4486694335938 0.36219364404678345 699.7312622070312 84.08731079101562 0 0.2859369 200.693 546.53406 277.42233 715.2356 0 0.2411394 894.8323 789.4716 1022.43494 920.1464 0 0.23206839999999998 193.0521 584.3538 339.1873 873.5119 0 0.12380741 303.19388 628.24005 388.99863 746.5926 7 0.10858606666666666 422.96747 12.661819 651.6434 277.4792 ,test/0006.jpg
7,9 0.9464938044548035 256.4870300292969 102.20500183105469 956.0387573242188 758.5139770507812 9 0.890637218952179 559.32763671875 478.6188659667969 901.2721557617188 733.4085693359375 1 0.7371864318847656 92.43112182617188 92.10717010498047 1005.69189453125 962.6680908203125 9 0.7079036831855774 556.189453125 102.43120574951172 991.486572265625 596.2138061523438 5 0.6538776159286499 884.093017578125 892.3259887695312 1021.7696533203125 1022.9192504882812 0 0.27368537584940594 329.861328125 6.384941577911377 1019.841064453125 305.5048522949219 0 0.2526177962621053 142.526123046875 97.31668090820312 976.4390869140625 850.9639892578125 1 0.21673633333333334 239.45512 896.12756 541.6847 1024.0 9 0.1549921 91.59796 24.19934 975.2493 965.07874 0 0.15232122 351.00455 2.5629654 1008.30334 208.22073 1 0.11940708666666666 436.73438 962.3292 525.3885 1023.5333 ,test/0007.jpg
8,7 0.9986538290977478 2.142108201980591 610.2881469726562 182.7100372314453 874.8912353515625 7 0.9984739422798157 156.53347778320312 491.124267578125 469.1026611328125 971.43505859375 7 0.9970532059669495 1.7743651866912842 359.4542236328125 270.2705993652344 637.81884765625 7 0.9969748258590698 393.5695495605469 466.0254821777344 693.3189086914062 879.2963256835938 1 0.9903814196586609 640.9710083007812 643.2459106445312 719.1487426757812 756.2595825195312 0 0.9259318113327026 103.22943878173828 904.7100830078125 168.1031951904297 972.6731567382812 7 0.918340265750885 682.8524780273438 524.0284423828125 791.809326171875 693.8231201171875 1 0.8779364824295044 356.49041748046875 499.2059631347656 463.74749755859375 690.6953735351562 7 0.5522433916727701 532.0947265625 426.91705322265625 762.1420288085938 696.8536987304688 5 0.4837787946065267 692.2864379882812 500.6179504394531 813.921630859375 621.0791625976562 6 0.48124996821085614 774.6923828125 280.68218994140625 981.3950805664062 613.099853515625 5 0.4395071268081665 775.03759765625 279.37567138671875 978.191650390625 617.044677734375 1 0.34891390800476074 153.4508056640625 577.355712890625 197.01783752441406 659.4168701171875 7 0.34750282764434814 691.1041259765625 496.8155822753906 817.03564453125 625.6038818359375 5 0.2793246905008952 675.0166625976562 461.7174072265625 810.8683471679688 691.5043334960938 7 0.24811633427937826 625.8574829101562 458.7554626464844 797.3855590820312 699.3397827148438 1 0.22538043333333332 774.84094 265.3122 980.48926 617.019 5 0.21500586666666666 552.41486 429.3952 708.7116 621.7227 5 0.20678840080897012 1.1808491945266724 364.77862548828125 258.9359130859375 632.6912231445312 7 0.19648313333333334 278.83038 478.43628 592.5757 915.0737 7 0.16605706 149.58911 535.9725 315.75894 660.5313 1 0.14247560666666667 361.65997 502.6679 462.2516 602.5374 7 0.13973846 556.80133 434.64288 710.16693 633.6701 2 0.12908371333333332 153.15735 579.6367 195.1427 662.34766 1 0.1027973 666.3234 453.14297 809.2221 527.16833 ,test/0008.jpg
9,0 0.9818980097770691 274.9197082519531 113.35126495361328 658.3302001953125 960.1474609375 0 0.10618085666666667 282.7777 630.0116 628.96643 966.36487 ,test/0009.jpg
